"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"DS3231MZ/V+","Maxim Integrated","DS3231MZ/V+-ND","","","Tube","Not For New Designs","1","6.46000","$6.46","3050","Not Available","IC RTC CLK/CALENDAR I2C 8-SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"TPS22958DGKR","Texas Instruments","296-47366-1-ND","","","Cut Tape (CT)","Active","1","0.87000","$0.87","14012","12 Weeks","IC LOAD SWITCH CURR LIMT","RoHS Compliant","Lead free","REACH Unaffected"
"74AHC1GU04W5-7","Diodes Incorporated","74AHC1GU04W5-7DICT-ND","","","Cut Tape (CT)","Active","3","0.30000","$0.90","2389","12 Weeks","IC INVERTER 1CH 1-INP SOT25","RoHS Compliant","Lead free","REACH Unaffected"
"LM555CMX","ON Semiconductor","LM555CMXFSCT-ND","","","Cut Tape (CT)","Active","1","0.40000","$0.40","43956","8 Weeks","IC OSC SINGLE TIMER 8-SOP","RoHS Compliant","Lead free","Not Available"
"DB2J31400L","Panasonic Electronic Components","DB2J31400LCT-ND","","","Cut Tape (CT)","Active","3","0.23000","$0.69","67536","11 Weeks","DIODE SCHOTTKY 30V 30MA SMINI2","RoHS Compliant","Lead free","Not Available"
"RMCF0603FT1K30","Stackpole Electronics Inc.","RMCF0603FT1K30CT-ND","","","Cut Tape (CT)","Active","10","0.01800","$0.18","26408","22 Weeks","RES 1.3K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF0603FT2K40","Stackpole Electronics Inc.","RMCF0603FT2K40CT-ND","","","Cut Tape (CT)","Active","10","0.01800","$0.18","40177","22 Weeks","RES 2.4K OHM 1% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"ML-621S/DN","Panasonic - BSG","P044-ND","","","Bulk","Active","1","1.99000","$1.99","87138","22 Weeks","BATTERY LITH 3V 5MAH COIN 6.8MM","Not applicable","Not applicable","Not Available"
"CL21B103KBANNNC","Samsung Electro-Mechanics","1276-1015-1-ND","","","Cut Tape (CT)","Active","10","0.05500","$0.55","40000","Not Available","CAP CER 10000PF 50V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"ERJ-6GEYJ471V","Panasonic Electronic Components","P470ACT-ND","","","Cut Tape (CT)","Active","10","0.07700","$0.77","879701","Not Available","RES SMD 470 OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF0805JT180R","Stackpole Electronics Inc.","RMCF0805JT180RCT-ND","","","Cut Tape (CT)","Active","10","0.02100","$0.21","36874","22 Weeks","RES 180 OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"150080GS75000","Wurth Electronics Inc.","732-4983-1-ND","","","Cut Tape (CT)","Active","5","0.18000","$0.90","41506","10 Weeks","LED GREEN CLEAR 0805 SMD","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","","","Cut Tape (CT)","Active","10","0.04700","$0.47","32353775","29 Weeks","RES SMD 10K OHM 1% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"SD0805S020S1R0","AVX Corporation","478-7800-1-ND","","","Cut Tape (CT)","Active","1","0.42000","$0.42","208717","16 Weeks","DIODE SCHOTTKY 20V 1A 0805","RoHS Compliant","Lead free","REACH Unaffected"
"SN74LVC1G332DCKR","Texas Instruments","296-15943-1-ND","","","Cut Tape (CT)","Active","3","0.36000","$1.08","26765","8 Weeks","IC GATE OR 1CH 3-INP SC70-6","RoHS Compliant","Lead free","REACH Unaffected"
"74LV1T87GWH","Nexperia USA Inc.","1727-7720-1-ND","","","Cut Tape (CT)","Active","2","0.49000","$0.98","11963","13 Weeks","IC GATE XNOR 1CH 2-INP 5TSSOP","RoHS Compliant","Lead free","Not Available"
"CL21B105KOFNNNG","Samsung Electro-Mechanics","1276-6471-1-ND","","","Cut Tape (CT)","Active","10","0.05900","$0.59","15709","Not Available","CAP CER 1UF 16V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"885012207058","Wurth Electronics Inc.","732-12278-1-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","3580","35 Weeks","CAP CER 470PF 25V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"885012207048","Wurth Electronics Inc.","732-7661-1-ND","","","Cut Tape (CT)","Active","2","0.11000","$0.22","2247","35 Weeks","CAP CER 0.33UF 16V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"HMC0603JT100M","Stackpole Electronics Inc.","HMC0603JT100MCT-ND","","","Cut Tape (CT)","Active","2","0.44000","$0.88","323859","18 Weeks","RES 100M OHM 5% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected"